id,title,price,comment,shopName,url,img
100158571062,vivo iQOO Neo10 Pro 16GB+512GB 驰光白 天玑9400旗舰芯 自研电竞芯片Q2 长续航超薄AI游戏学生,3799.00,1000+,iQOO京东自营官方旗舰店,https://item.jd.com/100158571062.html,jfs/t1/149378/2/49612/74978/674fefd5F2418ab19/371f07268f0290fc.jpg.avif
100068892987,小米Redmi Note13Pro 骁龙7S 新2亿像素 第二代1.5K高光屏 12GB+256GB 时光蓝 5G,1399.00,100万+,小米京东自营旗舰店,https://item.jd.com/100068892987.html,jfs/t1/243669/16/25988/41028/674dbce7F2532c2ba/55edc044aae9c509.jpg.avif
100106914802,小米（MI）RedmiTurbo3 第三代骁龙8s 小米澎湃OS 12GB+256GB 青刃 红米5G,1509.00,10万+,小米移动京东自营旗舰店,https://item.jd.com/100106914802.html,jfs/t1/164511/34/44986/83462/66e3de5fF82d94667/8b15eb741b75e142.jpg.avif
100081500557,华为畅享 70 Pro 1亿像素超清影像40W超级快充5000mAh大电池 256GB 曜金黑 鸿蒙智能,1499.00,20万+,华为京东自营官方旗舰店,https://item.jd.com/100081500557.html,jfs/t1/241355/1/24416/44806/674aa965F6d5d2ad2/fa2c8443bc3960ae.jpg.avif
100116184431,华为智选鼎桥M40旗舰性能 6400万超感知影像 支持NFC 无线充电 8GB+512GB 亮黑色【赠话费券】,2699.00,200+,京东手机自营旗舰店,https://item.jd.com/100116184431.html,jfs/t1/133770/9/49879/42333/6731d4d5F56f9875b/e563ce53f5b86454.jpg.avif
100106140181,一加 Ace 3 Pro 12GB+256GB 钛空镜银 第三代骁龙 8 旗舰芯片 6100mAh 冰川电池 AI智能游戏,2599.00,10万+,一加手机京东自营官方旗舰店,https://item.jd.com/100106140181.html,jfs/t1/233904/16/27509/53925/674d2c0dF5d3585e8/ba337afb19da1962.jpg.avif
100120884199,OPPO Find X8 12GB+256GB 浮光白 无影抓拍 超轻薄直屏 天玑9400 AI一键问屏 5630mAh冰川电池 5G,4199.00,5万+,OPPO京东自营官方旗舰店,https://item.jd.com/100120884199.html,jfs/t1/206174/17/46217/57061/67288f73Fdb6ed6be/3f1e9c7ed3df91e8.jpg.avif
100116111138,vivo Y36t 6GB+128GB 太空黑 超感轻薄设计 5000mAh大电池 150%超大音量 全网通 老人,649.00,10万+,vivo京东自营官方旗舰店,https://item.jd.com/100116111138.html,jfs/t1/225931/10/29375/75929/67498fbaFcf83b2b1/e3162418e98eb3ed.jpg.avif
10123649952271,华为,2289.00,500+,京购手机专营店,https://item.jd.com/10123649952271.html,jfs/t1/240817/24/21745/77596/672cd13fF23aa920f/a1b5b19355971276.jpg.avif
100116424194,华为畅享 70S 6.75英寸AOD护眼大屏 畅享X键常用功能一步直达8GB+256GB曜金黑 鸿蒙智能,1061.00,2万+,华为京东自营官方旗舰店,https://item.jd.com/100116424194.html,jfs/t1/182045/21/51638/46998/674aa94cF9889656f/713bb7b773a26a44.jpg.avif
