id,title,price,comment,shopName,url,img,img_list,attriName1,attriListName,attriListImg,attriName2,attriListSize,attriName3,attriListMode,shopRating,extraPrice
10123413874532,WYBV轻奢品牌夹克男秋冬季大码连帽加绒,,33,WYBV旗舰店,https://item.jd.com/10123413874532.html,jfs/t1/159953/18/51341/38412/67263186Fb157c01b/2197bf6b8ac6d94b.jpg.avif,"jfs/t1/159953/18/51341/38412/67263186Fb157c01b/2197bf6b8ac6d94b.jpg.avif, jfs/t1/243507/6/23159/53535/67263187Fc2ff5dda/9fae3f59262c40d6.jpg.avif, jfs/t1/102189/3/54488/58407/67263cb9Fc566f951/92802aa9f47fda24.jpg.avif, jfs/t1/221768/12/46937/99380/67263186F7b08971f/436ee03d9b8201df.jpg.avif, jfs/t1/163670/34/50730/67010/67263185F1b66ad9b/d5d566cef6c63936.jpg.avif",选择颜色                                                ,"深灰色【银狐绒】, 浅灰色【银狐绒】, 黑色【银狐绒】, 藏蓝色【银狐绒】, 雾霾蓝【银狐绒】, 红色【银狐绒】","jfs/t1/102189/3/54488/58407/67263cb9Fc566f951/92802aa9f47fda24.jpg.avif, jfs/t1/221768/12/46937/99380/67263186F7b08971f/436ee03d9b8201df.jpg.avif, jfs/t1/159953/18/51341/38412/67263186Fb157c01b/2197bf6b8ac6d94b.jpg.avif, jfs/t1/243507/6/23159/53535/67263187Fc2ff5dda/9fae3f59262c40d6.jpg.avif, jfs/t1/163670/34/50730/67010/67263185F1b66ad9b/d5d566cef6c63936.jpg.avif, jfs/t1/198191/26/47606/54652/67263185F1b15343e/22959cfbd0968e00.jpg.avif",选择尺码                                                ,"M建议（90-110斤）, L建议（110-125斤）, XL建议（125-140斤）, 2XL建议（140-160斤）, 3XL（建议160-180斤）, 4XL建议（180-200斤）, 5XL建议（200-220斤）, 6XL建议（220-245斤）",,,4.5,486.00
100043982528,NASA MARVEL夹克男,,1万+,NASA MARVEL男装京东自营旗舰店,https://item.jd.com/100043982528.html,jfs/t1/216328/9/47881/64780/673087b5Fce4e917a/f1e643996ca1c256.jpg.avif,"jfs/t1/126448/20/49325/67233/673087b1Fab333f8f/63a212ec5b1d6afd.jpg.avif, jfs/t1/180568/1/50713/94538/673087b2F443b1e39/cf99cec3efc2fcc4.jpg.avif",选择颜色                                                ,"黑色, 黑色（棉服）, 卡其（棉服）, 红色","//img13.360buyimg.com/n9/s60x80_jfs/t1/126448/20/49325/67233/673087b1Fab333f8f/63a212ec5b1d6afd.jpg.avif, //img12.360buyimg.com/n9/s60x80_jfs/t1/219695/23/46965/74105/673087b1F9d4f7b1e/029a8b631d14678f.jpg.avif, //img13.360buyimg.com/n9/s60x80_jfs/t1/181069/36/52231/79472/673087b0F8bcbae4c/0b8bb5c9e3425520.jpg.avif, //img11.360buyimg.com/n9/s60x80_jfs/t1/180568/1/50713/94538/673087b2F443b1e39/cf99cec3efc2fcc4.jpg.avif",选择尺码                                                ,"M（建议110斤-135斤）, S（建议90斤-110斤）, L（建议135斤-155斤）, XL（建议155斤-170斤）, 2XL（建议170斤-190斤）",,,5.0,125.97
100057114278,NASA MARVEL夹克男春秋季连帽假两件透气时尚防风宽松情侣装 黑色 XL,,2000+,NASA MARVEL男装京东自营旗舰店,https://item.jd.com/100057114278.html,jfs/t1/218415/39/48074/62853/67305d37F66605fde/bc978029536a7204.jpg.avif,"jfs/t1/174220/34/48367/76499/67305d36F5254ab1a/916495c8bb090a47.jpg.avif, jfs/t1/177101/7/51133/82574/67305d37F62ca5b48/b06c110b6c33fe75.jpg.avif",选择颜色                                                ,"黑色, 米白色, 米白色加绒, 黑色加绒","//img13.360buyimg.com/n9/s60x80_jfs/t1/174220/34/48367/76499/67305d36F5254ab1a/916495c8bb090a47.jpg.avif, //img10.360buyimg.com/n9/s60x80_jfs/t1/177101/7/51133/82574/67305d37F62ca5b48/b06c110b6c33fe75.jpg.avif, //img12.360buyimg.com/n9/s60x80_jfs/t1/186916/22/52540/102576/673c8daaF4d684594/b660d5a6883fd963.jpg.avif, //img13.360buyimg.com/n9/s60x80_jfs/t1/216357/6/48308/95567/673c8dabF0489eebb/5bed0f8c286ceff5.jpg.avif",选择尺码                                                ,"XL（建议135斤-150斤）, M（建议90斤-120斤）, L（建议120斤-135斤）, 2XL（建议150斤-168斤）, 3XL（建议168斤-188斤）, 4XL（建议188斤-208斤）",,,5.0,138.00
100139796354,班尼路（Baleno）摇粒绒立领开衫,,5000+,班尼路（Baleno）女装京东自营旗舰店,https://item.jd.com/100139796354.html,jfs/t1/189680/35/51948/113426/6743d072Fb2da0b4d/47025e8c4179ee5a.jpg.avif,"jfs/t1/219638/7/49218/103201/6743d078Fd94dbf6e/46dc8f5b15dc75b2.jpg.avif, jfs/t1/246095/5/20681/113307/670f2ddcFf2edc548/100dd8ff301410b5.jpg.avif, jfs/t1/208876/18/46845/171019/672d937dFc738037e/6687496f2e8f2c6c.jpg.avif, jfs/t1/197593/33/45891/202224/6705df09F9bc90af6/261639606db4c41d.jpg.avif, jfs/t1/241995/39/16345/48574/66c93ff0F79d24039/5c97c89314bfb232.jpg.avif",选择颜色                                                ,"丁香紫/纯色, 杏/纯色, 灰/纯色, 黑/纯色","//img13.360buyimg.com/n9/s60x80_jfs/t1/186650/15/53464/179377/6743d077F2ade630d/a5fd71f201c157e9.jpg.avif, //img10.360buyimg.com/n9/s60x80_jfs/t1/188563/38/52484/86210/6743d076F3ffee213/784b2462eb791732.jpg.avif, //img10.360buyimg.com/n9/s60x80_jfs/t1/219385/26/49195/142881/6743d076F22f40faf/dc46c6bf2df0dbf4.jpg.avif, //img14.360buyimg.com/n9/s60x80_jfs/t1/219638/7/49218/103201/6743d078Fd94dbf6e/46dc8f5b15dc75b2.jpg.avif",选择尺码                                                ,"S, M, L, XL, 2XL",,,5.0,54.80
100115210887,京东京造摇粒绒,,5000+,京东京造自营官方旗舰店,https://item.jd.com/100115210887.html,jfs/t1/130752/13/49270/114579/6736a308F50631e9b/eab820bed22b63ce.png.avif,"jfs/t1/130752/13/49270/114579/6736a308F50631e9b/eab820bed22b63ce.png.avif, jfs/t1/158137/38/45865/114254/66d914a9Fbb696fe1/f7f3df4de93fb96c.jpg.avif, jfs/t1/107950/35/38063/42300/66d914a8F8111a3e0/dfbb5fae286777db.jpg.avif, jfs/t1/167383/27/47462/126824/66d914a8F2b5c2ecb/3fb0e15e5c1cdfb7.jpg.avif, jfs/t1/97321/36/49458/61043/66d914a8F175e8f96/f778de0ee473d528.jpg.avif",选择颜色                                                ,"【热卖爆款】黑色, 【情侣可穿】深灰+青灰, 【易打理可机洗】蓝色, 中灰","jfs/t1/130752/13/49270/114579/6736a308F50631e9b/eab820bed22b63ce.png.avif, jfs/t1/188472/40/50967/86384/6736a309F5ced6091/835e5832e00d2a3f.png.avif, jfs/t1/107589/21/53968/94616/6736a307Fd5596f55/0a3672440c3577d6.png.avif, jfs/t1/221893/15/47866/97677/6736a306F3aba64f7/38495273518fe922.png.avif",选择尺码                                                ,"S(165/88A), M(170/92A), L(175/96A), XL(180/100A), XXL(185/104A)",,,5.0,129.00
10103957612529,布克兄弟（BrooksBrothers）男士24秋,,200+,BrooksBrothers官方旗舰店,https://item.jd.com/10103957612529.html,jfs/t1/205458/15/51068/50621/674a7164F4fcc79b7/7c2014236329f513.jpg.avif,"jfs/t1/246514/21/28209/56248/67514085Fecf70e70/0be44d2a26620709.jpg.avif, jfs/t1/8283/20/28321/52631/66ea4707F04dfb5b1/8a7ceb52d333839c.jpg.avif, jfs/t1/246440/26/18911/36881/66ea4708F48dbea61/4eaa3c9f8a1e4a2a.jpg.avif, jfs/t1/247582/9/18905/38218/66ea4708F7d991737/1d29066149db60ce.jpg.avif, jfs/t1/161164/22/47291/33264/66ea4708F91aa5206/0624759b88e21497.jpg.avif",选择颜色                                                ,"4003-浅蓝色, 0003-灰色","//img14.360buyimg.com/n9/s60x80_jfs/t1/246514/21/28209/56248/67514085Fecf70e70/0be44d2a26620709.jpg.avif, //img14.360buyimg.com/n9/s60x80_jfs/t1/244677/33/27612/98528/67514088Fce29164f/941f7c147e7976ab.jpg.avif",选择尺码                                                ,"S, M, L, XL, XXL",,,,589.00
100111780986,HLA海澜之家长袖,,2000+,海澜之家京东自营旗舰店,https://item.jd.com/100111780986.html,jfs/t1/25537/1/22797/55876/66ce7fc2Fabb72703/788f3a566189fe86.jpg.avif,"jfs/t1/236721/24/23491/68898/66ce7fe1F178b167a/f687cebd57716a3f.jpg.avif, jfs/t1/244215/25/11029/234160/667249f9Fd20fc707/f35a7c99529f7571.jpg.avif, jfs/t1/228981/16/20662/198473/667249f8F5e710f9b/6d7948b53b2b7cb8.jpg.avif, jfs/t1/198648/18/44692/50666/667249f8F2582dcb6/9b27ef51819b5868.jpg.avif, jfs/t1/240414/23/11836/68491/667249f7F1ca65e75/582c4c9a431dd1ad.jpg.avif",选择颜色                                                ,"浅灰（净色）(91), 浅绿（净色）(92), 浅蓝（净色）(93), 蓝灰（净色）(94)","//img11.360buyimg.com/n9/s60x80_jfs/t1/236721/24/23491/68898/66ce7fe1F178b167a/f687cebd57716a3f.jpg.avif, //img14.360buyimg.com/n9/s60x80_jfs/t1/228047/20/25650/68875/66ce7fe6F4dc43cc5/a562c9321ce48073.jpg.avif, //img13.360buyimg.com/n9/s60x80_jfs/t1/235198/11/26696/102411/66ce7fe8F149bf17b/e92ebcec6f5ff079.jpg.avif, //img10.360buyimg.com/n9/s60x80_jfs/t1/8785/3/26835/85345/66ce7ff1Fc5aae3b1/c7f21c9635749352.jpg.avif",选择尺码                                                ,"165/84A(XS)推荐117~126斤, 170/88A(S)推荐127~136斤, 175/92A(M)推荐137~148斤, 175/96A(L)推荐149~160斤, 180/100A(XL)推荐161~172斤, 180/104A(XXL)推荐173~184斤, 180/108A(XXXL)推荐185~196斤, 185/112A(XXXXL)推荐197~208斤",,,5.0,108.00
100135816144,京东京造,,2000+,京东京造自营官方旗舰店,https://item.jd.com/100135816144.html,jfs/t1/197244/19/51254/74294/6745bee2F1a3d0e43/0c1327043bed7903.png.avif,"jfs/t1/197244/19/51254/74294/6745bee2F1a3d0e43/0c1327043bed7903.png.avif, jfs/t1/167804/35/47112/100185/66e3fa0dFa7b1bb30/c4aa784f03e8b0ee.jpg.avif, jfs/t1/238292/39/16321/112147/66e3fa0cF042e9062/2ab8130cfb6e6892.jpg.avif, jfs/t1/242294/13/18280/52438/66e3fa0cF673e8fa3/aa763f450a997eda.jpg.avif, jfs/t1/131496/36/46752/30998/66e3fa0bF5e261dbd/57c1243fb8c8ec1b.jpg.avif",选择颜色                                                ,"深灰色, 绿色, 藏青色","jfs/t1/186175/37/53260/57656/6745bec8F949c2a63/14aded771241eba5.png.avif, jfs/t1/248302/9/25910/82785/6745bed5Fbec381d1/848d51a5d7b0b455.png.avif, jfs/t1/197244/19/51254/74294/6745bee2F1a3d0e43/0c1327043bed7903.png.avif",选择尺码                                                ,"39, 40, 41, 42, 43",,,5.0,99.00
66941216331,勤思路 港风白,,2万+,勤思路旗舰店,https://item.jd.com/66941216331.html,jfs/t1/106821/13/16050/91869/5e782b76Eb7c98738/c2ecf2b25acf6985.jpg.avif,"jfs/t1/106821/13/16050/91869/5e782b76Eb7c98738/c2ecf2b25acf6985.jpg.avif, jfs/t1/87803/26/15913/121841/5e782b76Eb2951834/8dd90cc822a0b76d.jpg.avif, jfs/t1/96111/23/16308/64054/5e782b76E461f4058/31fb86126feed6ef.jpg.avif, jfs/t1/90953/17/16182/105593/5e782b78Eb985dda8/60d07daec4064815.jpg.avif, jfs/t1/102902/28/16132/64028/5e782b77Eb53539dd/ed416ab3fd3adb30.jpg.avif",选择颜色                                                ,"白色衬衫 常规, 白色衬衫 常规+领带, 白色衬衫 常规+裤子+领带, 白色衬衫 加绒, 白色衬衫 加绒+领带","jfs/t1/106821/13/16050/91869/5e782b76Eb7c98738/c2ecf2b25acf6985.jpg.avif, jfs/t1/97978/38/16203/91869/5e782b77E0cea3649/f1224acd42796b50.jpg.avif, jfs/t1/62694/16/27052/61620/66c982bcFd5a16b1b/bdb0c1e7a9ca1719.jpg.avif, jfs/t1/104877/5/16054/99399/5e782b76E7d6fe364/b96ec5ae4232f8fa.jpg.avif, jfs/t1/85692/32/16251/99399/5e782b76E15365591/4a0d9a63a1cc40b8.jpg.avif",选择尺码                                                ,"S 90斤内, M【90-100斤】, L【100-110斤】, XL【110-125斤】, 2XL 【125-140斤】, 3XL【140-155斤】, 4XL【155-170斤】, 5XL【170-185斤】, 6XL【185-200斤】",,,4.9,31.50
10109977812412,凡小如白色长袖,,1000+,凡小如服饰配件旗舰店,https://item.jd.com/10109977812412.html,jfs/t1/110016/37/52149/26751/67218647Fe44b589e/dd3ca68bb29c21cb.jpg.avif,"jfs/t1/110016/37/52149/26751/67218647Fe44b589e/dd3ca68bb29c21cb.jpg.avif, jfs/t1/187363/20/52131/71324/673bef6cFc07896e8/e877ae33e1e6ea21.png.avif, jfs/t1/10099/22/24910/37647/66b07e58Fcf861dd6/e918afb1722be6b6.png.avif, jfs/t1/249902/10/16421/45563/66b07e63F0f73707f/dae345971c4fdbe7.png.avif, jfs/t1/247961/14/16592/38753/66b07e70F13b0d0ba/0a524eebb7dab854.png.avif",选择颜色                                                ,"白色S【建议80-95斤】, 白色M【建议95-110斤】, 白色L【建议110-125斤】","jfs/t1/110016/37/52149/26751/67218647Fe44b589e/dd3ca68bb29c21cb.jpg.avif, jfs/t1/110016/37/52149/26751/67218647Fe44b589e/dd3ca68bb29c21cb.jpg.avif, jfs/t1/110016/37/52149/26751/67218647Fe44b589e/dd3ca68bb29c21cb.jpg.avif",,,,,4.6,54.90
